Nicc|DRG|tw|i|1597|1.02|186|0.98|75|118.9|0.65|0.40|0.05|0.06|29
Meteor|T1|kr|c|1130|1.02|214|1.08|72|141.3|0.75|0.20|0.13|0.11|31
Killua|FS|th|i|1135|1.02|193|1.00|74|126.3|0.68|0.33|0.06|0.06|34
monk|AT|cn|c|118|1.02|188|0.97|77|121.7|0.65|0.46|0.08|0.07|29
Demon1|ENVY|us|s|665|1.02|201|1.06|69|134.4|0.75|0.17|0.12|0.12|40
Dambi|NS|kr|d|1158|1.02|221|1.05|69|137.6|0.77|0.25|0.15|0.15|21
OBONE||cn|c|201|1.02|173|0.76|66|127.9|0.57|0.34|0.06|0.10|34
s0pp|FUT|tr|d|1136|1.02|222|1.02|71|144.0|0.77|0.22|0.20|0.15|25
Rossy|ENVY|us|c|801|1.01|191|0.96|71|123.6|0.66|0.32|0.05|0.07|27
Boo|TH|lt|c|1436|1.01|171|0.95|75|110.8|0.60|0.41|0.06|0.07|34
UdoTan|GE|kr|d|1255|1.01|215|1.06|72|141.0|0.76|0.18|0.15|0.13|27
sibeastw0w|KBG|ru|i|173|1.01|181|0.82|71|131.2|0.62|0.28|0.04|0.04|30
leaf|G2|us|c|1556|1.01|202|1.01|71|133.6|0.70|0.30|0.09|0.12|25
coconut|FPX|hk|i|1537|1.01|181|0.95|69|120.7|0.63|0.30|0.05|0.06|31
Akame|DFM|kr|i|951|1.01|202|1.00|71|134.1|0.70|0.25|0.08|0.10|27
PxS|INTZ|us||104|1.01|173|0.98|67|116.8|0.62|0.19|0.09|0.06|23
Lar0k|BBL|tr|d|1007|1.01|211|1.03|70|136.3|0.74|0.24|0.13|0.12|28
mada|NRG|ca|d|1637|1.00|209|1.04|71|131.4|0.74|0.22|0.18|0.17|26
Reduxx|SEN|us|d|767|1.00|204|1.02|71|133.2|0.73|0.25|0.13|0.11|32
f0rsakeN|PRX|id|c|2000|1.00|211|1.02|73|137.5|0.73|0.36|0.11|0.11|28
FireBallOps|C9|us|s|311|1.00|200|1.04|70|132.2|0.73|0.18|0.11|0.08|39
Yuicaw|JDG|tw|s|1642|1.00|200|0.98|70|131.7|0.69|0.24|0.11|0.10|29
STYRON|TS|sg|i|270|1.00|191|0.90|71|128.0|0.63|0.30|0.08|0.05|23
stew||kr|d|980|1.00|210|1.05|73|133.4|0.75|0.28|0.11|0.10|29
v1c|C9|us|c|873|1.00|183|0.98|75|122.8|0.65|0.39|0.08|0.09|28
Minny|M8|cz|c|1251|1.00|197|1.02|71|130.0|0.71|0.22|0.11|0.12|32
benjyfishy|TH|gb|s|1436|1.00|190|1.02|72|125.5|0.69|0.25|0.08|0.08|34
Ivy|NS|kr|c|1158|1.00|193|1.05|69|126.8|0.69|0.20|0.09|0.10|32
Kai|TE|cn|d|1217|1.00|214|1.02|70|141.5|0.76|0.17|0.16|0.14|28
swagzor|NOVA|ru|d|761|1.00|258|1.18|71|153.5|0.89|0.20|0.22|0.20|28
K1ra|AG|cn|d|1604|1.00|211|1.04|71|132.4|0.73|0.28|0.10|0.12|25
rushia|BLG|cn|c|1260|1.00|198|1.00|71|133.1|0.68|0.27|0.11|0.10|23
Rb|NS|kr|c|1158|0.99|176|0.98|73|111.5|0.62|0.39|0.06|0.08|23
Munchkin|T1|kr|c|1130|0.99|179|0.97|74|116.5|0.61|0.44|0.05|0.08|20
LuoK1ng|TE|cn|c|842|0.99|182|0.92|72|113.4|0.64|0.38|0.06|0.09|29
iluri|EP|fi|i|104|0.99|178|1.00|65|124.8|0.63|0.20|0.05|0.02|36
Sylvan|TS|kr|c|672|0.99|187|0.94|72|124.1|0.68|0.35|0.06|0.08|31
FengF|TE|cn|i|842|0.99|198|0.96|72|136.6|0.69|0.28|0.08|0.11|30
PROFEK|VIT|pl|c|1360|0.99|178|1.01|74|117.8|0.64|0.36|0.08|0.06|25
kellyS|TS|ph|d|672|0.99|208|0.97|74|139.0|0.71|0.31|0.10|0.09|24
kaajak|FNC|pl|d|1236|0.99|213|1.06|67|137.7|0.77|0.16|0.16|0.17|33
Jamppi|VIT|fi|i|1360|0.99|198|1.00|73|127.5|0.70|0.32|0.09|0.10|27
spike|LEV|br|d|1471|0.99|223|1.06|73|141.8|0.78|0.27|0.17|0.14|24
Shyy|FUR|cl|s|330|0.99|189|1.01|71|127.2|0.67|0.22|0.08|0.07|22
wayne|TL|sg|c|897|0.99|181|0.96|75|118.0|0.64|0.37|0.06|0.07|33
tkzin|LOUD|br|d|258|0.99|234|1.04|71|149.9|0.81|0.18|0.17|0.19|34
Jackk|C9|us|i|411|0.99|166|0.91|73|114.3|0.58|0.37|0.03|0.04|31
iamgrq|AG|cn|c|1604|0.99|196|1.00|75|127.7|0.69|0.40|0.07|0.09|24
crownfisher|JDG|cn|c|662|0.99|195|0.97|71|127.2|0.70|0.31|0.06|0.09|29
stax|T1|kr|i|921|0.98|174|0.97|74|115.8|0.61|0.31|0.06|0.04|26
